text,ml_prediction,llm_prediction
"Deep fried calamari rings x10 this hand cut panko coated squid rings are prepared from premium quality raw squid, delivering a brilliant looking and incredibly tender product. The coarse, authentic style japanese panko breadcrumb has a delicious crunch.
Contains: Squid (Molluscs) Wheat Flour Soya Bean Yeast Extraact Cerlery Soy Flour","Molluscs - indexes: [57,62] - text: squid
Molluscs - indexes: [107,112] - text: squid
Molluscs - indexes: [264,269] - text: Squid
Molluscs - indexes: [271,279] - text: Molluscs
Wheat - indexes: [281,292] - text: Wheat Flour
Soybeans - indexes: [293,302] - text: Soya Bean
Celery and Celeriac - indexes: [318,325] - text: Cerlery
Soybeans - indexes: [326,335] - text: Soy Flour","Let me analyze the menu item text according to the provided guidelines.

The text contains a ""Contains:"" section which explicitly labels allergens, so I'll extract those allergens:

```
Span: ""Contains: Squid (Molluscs)""
Word or Label Denoting Allergen: ""Molluscs""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' with Squid specified as the type of mollusc.""

Span: ""Contains: Squid (Molluscs) Wheat Flour""
Word or Label Denoting Allergen: ""Wheat""
Allergen Category: ""Wheat""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' as Wheat Flour.""

Span: ""Wheat Flour Soya Bean Yeast""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' as Soya Bean.""

Span: ""Extraact Cerlery Soy Flour""
Word or Label Denoting Allergen: ""Cerlery""
Allergen Category: ""Celery and Celeriac""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' (despite misspelling).""

Span: ""Cerlery Soy Flour""
Word or Label Denoting Allergen: ""Soy""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' as Soy Flour (second mention of soy).""
```

Note: While ""Soya Bean"" and ""Soy Flour"" refer to the same allergen category (Soybeans), both are included as they appear as separate mentions in the allergen listing. The misspelling of ""Cerlery"" is preserved in the span but interpreted as ""Celery"" for the allergen"
Salmon Roe Nigiri,"Fish - indexes: [0,10] - text: Salmon Roe","For the input menu item ""Salmon Roe Nigiri"", my analysis is:

```
No Allergens Found
```

Explanation of my analysis:
- While the menu item contains ingredients that could be allergens (salmon and fish roe are seafood/fish products), they are not explicitly labeled as allergens in the text.
- There are no allergen labels or warnings (like ""Contains:"", ""Allergens:"", etc.) in the text.
- Following the guidelines, we should only extract allergens that are explicitly presented in allergen format, not potential allergens mentioned as part of general ingredient descriptions.
- Therefore, the correct output is ""No Allergens Found"" since no explicit allergen labeling is present in the menu item text."
*FISH ROE,"Fish - indexes: [1,9] - text: FISH ROE","For the input ""*FISH ROE"", I'll analyze it according to the provided guidelines:

```
No Allergens Found
```

Explanation of analysis:
- While the menu item contains ""FISH"" which is a common allergen, it is not explicitly labeled or presented in an allergen format (e.g., ""Allergens:"", ""Contains:"", etc.)
- The text appears to be simply listing ingredients or a menu item name
- According to guideline #1, we should not extract potential allergens that are mentioned as part of general ingredient descriptions
- Therefore, following guideline #8, when no allergens are explicitly labeled in an allergen format, we must output ""No Allergens Found"""
"Avocado, baby mozzarella, black olives & pesto Suitable for vegetarians Contains nuts or nut oils","Nuts - indexes: [81,85] - text: nuts
Nuts - indexes: [89,97] - text: nut oils","For the provided menu item:
`Avocado, baby mozzarella, black olives & pesto Suitable for vegetarians Contains nuts or nut oils`

Analysis:

```
Span: ""Contains nuts or nut oils""
Word or Label Denoting Allergen: ""nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly labeled with 'Contains' statement indicating nuts as an allergen.""
```

The text includes one explicitly labeled allergen through the ""Contains"" statement. While mozzarella (dairy) is present as an ingredient, it's not explicitly labeled as an allergen, so it's not included in the extraction. The allergen is identified through the formal ""Contains"" statement, which is a standard allergen labeling format."
"Medium size, crust calzone","Crustaceans - indexes: [13,18] - text: crust","For the input menu item ""Medium size, crust calzone"", my analysis is:

```
No Allergens Found
```

This conclusion is based on:
1. The text does not contain any explicit allergen labeling (e.g., no ""Allergens:"" or ""Contains:"" statements)
2. While the item might contain common allergens like gluten from the crust, these are not explicitly labeled as allergens in the text
3. Following the guidelines, we should only extract allergens that are explicitly presented in allergen format
4. No shorthand allergen labels (like N, P, S, etc.) are present in the text

Therefore, according to the task guidelines, the appropriate response is ""No Allergens Found"" as no allergens are explicitly labeled in an allergen format in the provided menu item text."
"Thai Fish Cakes (Contains: Soybeans, Fish, Sesame) Chicken on Skewers with Peanut Satay Sauce (Contains: Peanuts, Soybeans, Crustaceans, Sesame) Thai Red King
King Prawn Curry (Medium spicy) (Contains: Milk, Soybeans, Fish, Crustaceans, Celery) Thai Stir Fried Beef with Basil (Medium spicy) (Contains: Soybeans, Fish, Mollluscs, Sesame, Celery) Egg Fried Rice (1 x Large) (Contains: Soybeans, Eggs, Sesame) Prawn Crackers (Free) (Contains: Soybeans, Crustaceans, Sulphur Dioxide)","Fish - indexes: [5,9] - text: Fish
Soybeans - indexes: [27,35] - text: Soybeans
Fish - indexes: [37,41] - text: Fish
Sesame - indexes: [43,49] - text: Sesame
Peanuts - indexes: [105,112] - text: Peanuts
Soybeans - indexes: [114,122] - text: Soybeans
Crustaceans - indexes: [124,135] - text: Crustaceans
Sesame - indexes: [137,143] - text: Sesame
Dairy - indexes: [202,206] - text: Milk
Soybeans - indexes: [208,216] - text: Soybeans
Fish - indexes: [218,222] - text: Fish
Crustaceans - indexes: [224,235] - text: Crustaceans
Celery and Celeriac - indexes: [237,243] - text: Celery
Soybeans - indexes: [303,311] - text: Soybeans
Fish - indexes: [313,317] - text: Fish
Molluscs - indexes: [319,328] - text: Mollluscs
Sesame - indexes: [330,336] - text: Sesame
Celery and Celeriac - indexes: [338,344] - text: Celery
Soybeans - indexes: [384,392] - text: Soybeans
Eggs - indexes: [394,398] - text: Eggs
Sesame - indexes: [400,406] - text: Sesame
Soybeans - indexes: [441,449] - text: Soybeans
Crustaceans - indexes: [451,462] - text: Crustaceans
Sulphites - indexes: [464,479] - text: Sulphur Dioxide","I'll analyze the menu item text and extract the allergens that are explicitly labeled in allergen format.

```
Span: ""(Contains: Soybeans, Fish, Sesame)""
Word or Label Denoting Allergen: ""Soybeans""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""(Contains: Soybeans, Fish, Sesame)""
Word or Label Denoting Allergen: ""Fish""
Allergen Category: ""Fish""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""(Contains: Soybeans, Fish, Sesame)""
Word or Label Denoting Allergen: ""Sesame""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""(Contains: Peanuts, Soybeans, Crustaceans, Sesame)""
Word or Label Denoting Allergen: ""Peanuts""
Allergen Category: ""Peanuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""(Contains: Peanuts, Soybeans, Crustaceans, Sesame)""
Word or Label Denoting Allergen: ""Crustaceans""
Allergen Category: ""Crustaceans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""(Contains: Milk, Soybeans, Fish, Crustaceans, Celery)""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""(Contains: Milk, Soybeans, Fish, Crustaceans, Celery)""
Word or Label Denoting"
"Special fried rice (with chicken Pork or beef) cooked with chilli, garlic lime leaves and Thai herbs Contains: Gluten, Moulluscs, Soya","Gluten - indexes: [111,117] - text: Gluten
Molluscs - indexes: [119,128] - text: Moulluscs
Soybeans - indexes: [130,134] - text: Soya","Let me analyze the menu item text according to the provided guidelines.

For the input: `Special fried rice (with chicken Pork or beef) cooked with chilli, garlic lime leaves and Thai herbs Contains: Gluten, Moulluscs, Soya`

Since there are explicitly labeled allergens following ""Contains:"", I'll extract each one:

```
Span: ""Contains: Gluten, Moulluscs, Soya""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Gluten, Moulluscs, Soya""
Word or Label Denoting Allergen: ""Moulluscs""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""

Span: ""Contains: Gluten, Moulluscs, Soya""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains:' label""
```

Note: All allergens are listed with high certainty because they are explicitly labeled after ""Contains:"" in the menu item. The context span includes the allergen label and the complete list of allergens for proper context. I've mapped ""Soya"" to the ""Soybeans"" category as they refer to the same allergen."
"Noodles; Prawns, squids & mussels (Contains cereals gluten, soya, shrimps, squids, oyster)","Molluscs - indexes: [17,23] - text: squids
Molluscs - indexes: [26,33] - text: mussels
Gluten - indexes: [52,58] - text: gluten
Soybeans - indexes: [60,64] - text: soya
Crustaceans - indexes: [66,73] - text: shrimps
Molluscs - indexes: [75,81] - text: squids
Molluscs - indexes: [83,89] - text: oyster","Let me analyze the provided menu item text:

`Noodles; Prawns, squids & mussels (Contains cereals gluten, soya, shrimps, squids, oyster)`

Since this text contains explicit allergen labeling with ""Contains"", I'll extract the allergens:

```
Span: ""Contains cereals gluten""
Word or Label Denoting Allergen: ""cereals gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly labeled as contained allergen.""

Span: ""Contains cereals gluten, soya""
Word or Label Denoting Allergen: ""soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly labeled as contained allergen.""

Span: ""Contains cereals gluten, soya, shrimps""
Word or Label Denoting Allergen: ""shrimps""
Allergen Category: ""Crustaceans""
Certainty: ""High""
Explanation: ""Explicitly labeled as contained allergen.""

Span: ""soya, shrimps, squids, oyster""
Word or Label Denoting Allergen: ""squids""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Explicitly labeled as contained allergen.""

Span: ""shrimps, squids, oyster""
Word or Label Denoting Allergen: ""oyster""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Explicitly labeled as contained allergen.""
```

Note: While squids and mussels are also mentioned in the ingredient list, I only included their mentions within the explicit allergen declaration (""Contains"") section in the analysis, following the guidelines to only extract allergens explicitly presented in allergen format."
"Allergens Present
Egg Products Yes
Mustard Products Yes
Cereal containing gluten – Barley Yes
Cereal containing gluten – Oat Yes
Cereal containing gluten – Wheat Yes","Eggs - indexes: [18,21] - text: Egg
Dairy - indexes: [22,30] - text: Products
Mustard - indexes: [35,42] - text: Mustard
Dairy - indexes: [43,51] - text: Products
Gluten - indexes: [56,89] - text: Cereal containing gluten – Barley
Gluten - indexes: [94,118] - text: Cereal containing gluten
Gluten - indexes: [121,124] - text: Oat
Gluten - indexes: [129,153] - text: Cereal containing gluten
Wheat - indexes: [156,161] - text: Wheat","Let me analyze the provided menu item text for explicitly labeled allergens.

The input text is structured as an allergen declaration list with ""Allergens Present"" as the header, followed by specific allergens with ""Yes"" confirmations. Here's the structured output:

```
Span: ""Egg Products Yes""
Word or Label Denoting Allergen: ""Egg Products""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed under 'Allergens Present' with confirmation 'Yes'""

Span: ""Mustard Products Yes""
Word or Label Denoting Allergen: ""Mustard Products""
Allergen Category: ""Mustard""
Certainty: ""High""
Explanation: ""Explicitly listed under 'Allergens Present' with confirmation 'Yes'""

Span: ""Cereal containing gluten – Barley Yes""
Word or Label Denoting Allergen: ""Barley""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed as a gluten-containing cereal under allergens""

Span: ""Cereal containing gluten – Oat Yes""
Word or Label Denoting Allergen: ""Oat""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed as a gluten-containing cereal under allergens""

Span: ""Cereal containing gluten – Wheat Yes""
Word or Label Denoting Allergen: ""Wheat""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed as a gluten-containing cereal under allergens""
```

All allergens are listed with high certainty as they are explicitly labeled under ""Allergens Present"" with clear ""Yes"" confirmations."
"Shredded red & white cabbage with carrot & red onion dressed with our own special yoghurt mayonnaise.
Cup is fully compostable.
Allergens - D, E, M, SF, GF.","Dairy - indexes: [140,141] - text: D
Eggs - indexes: [143,144] - text: E
Mustard - indexes: [146,147] - text: M
Sulphites - indexes: [149,151] - text: SF","I'll analyze the menu item text according to the provided guidelines.

The text contains an explicit allergen section marked with ""Allergens -"" followed by shorthand labels ""D, E, M, SF, GF"".

```
Span: ""Allergens - D""
Word or Label Denoting Allergen: ""D""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Shorthand 'D' explicitly listed under allergens section indicates Dairy.""

Span: ""Allergens - D, E""
Word or Label Denoting Allergen: ""E""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Shorthand 'E' explicitly listed under allergens section indicates Eggs.""

Span: ""Allergens - D, E, M""
Word or Label Denoting Allergen: ""M""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Shorthand 'M' explicitly listed under allergens section indicates Molluscs.""

Span: ""Allergens - D, E, M, SF""
Word or Label Denoting Allergen: ""SF""
Allergen Category: ""Seafood""
Certainty: ""High""
Explanation: ""Shorthand 'SF' explicitly listed under allergens section indicates Seafood.""

Span: ""Allergens - D, E, M, SF, GF""
Word or Label Denoting Allergen: ""GF""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Shorthand 'GF' explicitly listed under allergens section indicates Gluten-Free, which relates to Gluten allergen awareness.""
```

Note: While ingredients like yoghurt (which typically contains dairy) are mentioned in the description, I've only included the explicitly labeled allergens from the designated allergen section as per the guidelines."
"Contains gluten, molluscs, crustaceans, nuts, peanuts, sesame, soybeans, sulphur dioxide/sulphites, eggs","Gluten - indexes: [9,15] - text: gluten
Molluscs - indexes: [17,25] - text: molluscs
Crustaceans - indexes: [27,38] - text: crustaceans
Nuts - indexes: [40,44] - text: nuts
Peanuts - indexes: [46,53] - text: peanuts
Sesame - indexes: [55,61] - text: sesame
Soybeans - indexes: [63,71] - text: soybeans
Sulphites - indexes: [73,89] - text: sulphur dioxide/
Sulphites - indexes: [89,98] - text: sulphites
Eggs - indexes: [100,104] - text: eggs","For the provided input:
`Contains gluten, molluscs, crustaceans, nuts, peanuts, sesame, soybeans, sulphur dioxide/sulphites, eggs`

I'll analyze the allergens based on the explicit ""Contains"" label:

```
Span: ""Contains gluten""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""Contains gluten, molluscs""
Word or Label Denoting Allergen: ""molluscs""
Allergen Category: ""Molluscs""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""gluten, molluscs, crustaceans""
Word or Label Denoting Allergen: ""crustaceans""
Allergen Category: ""Crustaceans""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""molluscs, crustaceans, nuts""
Word or Label Denoting Allergen: ""nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""crustaceans, nuts, peanuts""
Word or Label Denoting Allergen: ""peanuts""
Allergen Category: ""Peanuts""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""nuts, peanuts, sesame""
Word or Label Denoting Allergen: ""sesame""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly listed after 'Contains' statement.""

Span: ""peanuts, sesame, soybeans""
Word or Label Denoting Allergen: ""soybeans""
Allergen Category: ""Soybeans""
Certainty: ""High"""
"Selection of 7 mezzes: houmous, moutabal, tabbouleh, falafel, batata harra, chicken wings and fattoush. Main course of mixed grill and mixed shawarma served with lebanese sweet. Contains nuts, sesame, dairy and soya milk.
Contains Gluten","Nuts - indexes: [187,191] - text: nuts
Sesame - indexes: [193,199] - text: sesame
Dairy - indexes: [201,206] - text: dairy
Soybeans - indexes: [211,220] - text: soya milk
Gluten - indexes: [231,237] - text: Gluten","I'll analyze the menu item text according to the provided guidelines.

From the input text, I can identify allergens explicitly labeled in an allergen format with ""Contains"" statements. Here's the structured output:

```
Span: ""Contains nuts, sesame, dairy""
Word or Label Denoting Allergen: ""nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""

Span: ""Contains nuts, sesame, dairy""
Word or Label Denoting Allergen: ""sesame""
Allergen Category: ""Sesame""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""

Span: ""Contains nuts, sesame, dairy""
Word or Label Denoting Allergen: ""dairy""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""

Span: ""milk. Contains Gluten""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""

Span: ""dairy and soya milk""
Word or Label Denoting Allergen: ""soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label.""
```

All these allergens are explicitly labeled using ""Contains"" statements, making them clear allergen declarations with high certainty. While the menu item contains various ingredients, I've only included those that were explicitly labeled as allergens in the formal allergen declaration format."
Combination of beef patty and grilled chicken breast fillet with our delicious Gc sauce and fresh salads,"Gluten - indexes: [79,81] - text: Gc","For the provided menu item:
`Combination of beef patty and grilled chicken breast fillet with our delicious Gc sauce and fresh salads`

**Output:**
```
No Allergens Found
```

Explanation: The menu item description does not contain any explicitly labeled allergens. While the item contains ingredients that could potentially be allergens or contain allergens (like the ""Gc sauce""), these are not explicitly labeled or presented in an allergen format (e.g., ""Contains:"", ""Allergens:"", or with allergen symbols/codes). Therefore, following the guidelines, we must output ""No Allergens Found"" as no allergens are explicitly labeled as such in the text."
Chicken Meat and Chips (sm),"Sesame - indexes: [24,26] - text: sm","For the menu item ""Chicken Meat and Chips (sm)"", my analysis is:

```
No Allergens Found
```

Explanation of my analysis:
- The menu item text contains no explicit allergen labeling formats (such as ""Allergens:"", ""Contains:"", etc.)
- While the item contains ingredients that could be allergens (chicken, which contains protein that some people may be allergic to), these are not explicitly labeled as allergens
- No shorthand allergen codes (like N, P, S, etc.) are present
- Following the guidelines, since there are no explicitly labeled allergens, the correct output is ""No Allergens Found"""
"Cooked with coconut almond plum tomato & cream. Contains sulphur dioxide.
Fairly Hot, Milk, Nuts, Peanuts, Mustard, Soya, Sulphar Dioxide","Sulphites - indexes: [57,72] - text: sulphur dioxide
Dairy - indexes: [86,90] - text: Milk
Nuts - indexes: [92,96] - text: Nuts
Peanuts - indexes: [98,105] - text: Peanuts
Mustard - indexes: [107,114] - text: Mustard
Soybeans - indexes: [116,120] - text: Soya
Sulphites - indexes: [122,137] - text: Sulphar Dioxide","Let me analyze the provided menu item text according to the guidelines.

The text contains two relevant sections:
1. ""Contains sulphur dioxide""
2. A list format: ""Fairly Hot, Milk, Nuts, Peanuts, Mustard, Soya, Sulphar Dioxide""

Since these are presented in an allergen-listing format, I'll extract the relevant allergens:

```
Span: ""Contains sulphur dioxide""
Word or Label Denoting Allergen: ""sulphur dioxide""
Allergen Category: ""Sulphites""
Certainty: ""High""
Explanation: ""Explicitly stated with 'Contains' label""

Span: ""Hot, Milk, Nuts""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Listed in allergen format""

Span: ""Milk, Nuts, Peanuts""
Word or Label Denoting Allergen: ""Nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Listed in allergen format""

Span: ""Nuts, Peanuts, Mustard""
Word or Label Denoting Allergen: ""Peanuts""
Allergen Category: ""Peanuts""
Certainty: ""High""
Explanation: ""Listed in allergen format""

Span: ""Peanuts, Mustard, Soya""
Word or Label Denoting Allergen: ""Mustard""
Allergen Category: ""Mustard""
Certainty: ""High""
Explanation: ""Listed in allergen format""

Span: ""Mustard, Soya, Sulphar""
Word or Label Denoting Allergen: ""Soya""
Allergen Category: ""Soybeans""
Certainty: ""High""
Explanation: ""Listed in allergen format""
```

Note: While coconut and almond are mentioned in the ingredient list, they are not explicitly labeled as allergens in that context, so they are not"
"Allergens:
Wholemeal wheat flour, oats, cow’s milk, eggs, butter (cow’s milk).","Wheat - indexes: [11,20] - text: Wholemeal
Wheat - indexes: [21,32] - text: wheat flour
Gluten - indexes: [34,38] - text: oats
Dairy - indexes: [46,50] - text: milk
Eggs - indexes: [52,56] - text: eggs
Dairy - indexes: [58,64] - text: butter
Dairy - indexes: [72,76] - text: milk","Let me analyze the provided menu item text:

The text begins with ""Allergens:"" which indicates these are explicitly labeled allergens. I'll extract each one:

```
Span: ""Wholemeal wheat flour""
Word or Label Denoting Allergen: ""wheat""
Allergen Category: ""Wheat""
Certainty: ""High""
Explanation: ""Explicitly listed under allergens section""

Span: ""wheat flour, oats""
Word or Label Denoting Allergen: ""oats""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed under allergens section""

Span: ""oats, cow's milk""
Word or Label Denoting Allergen: ""cow's milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed under allergens section""

Span: ""cow's milk, eggs""
Word or Label Denoting Allergen: ""eggs""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed under allergens section""

Span: ""butter (cow's milk)""
Word or Label Denoting Allergen: ""cow's milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed under allergens section as clarification for butter""
```

Note: While ""butter"" contains dairy, I've only included the explicit ""cow's milk"" mention since it's the specific allergen term used in the parenthetical clarification. All items are listed with ""High"" certainty as they appear in an explicit allergens list."
"Contains Cereals With Gluten, Eggs, Milk","Gluten - indexes: [9,28] - text: Cereals With Gluten
Eggs - indexes: [30,34] - text: Eggs
Dairy - indexes: [36,40] - text: Milk","For the input `Contains Cereals With Gluten, Eggs, Milk`, I'll analyze for explicitly labeled allergens:

```
Span: ""Contains Cereals With Gluten""
Word or Label Denoting Allergen: ""Gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly stated as contained allergen.""

Span: ""Contains Cereals With Gluten, Eggs""
Word or Label Denoting Allergen: ""Eggs""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly stated as contained allergen.""

Span: ""Gluten, Eggs, Milk""
Word or Label Denoting Allergen: ""Milk""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly stated as contained allergen.""
```

This analysis is based on:
1. The text begins with ""Contains"" which explicitly indicates allergen labeling
2. Each allergen (Gluten, Eggs, Milk) is clearly stated
3. All items are presented in an allergen declaration format
4. The certainty is ""High"" as these are directly stated as contained allergens
5. Each allergen is categorized according to the standard allergen categories provided"
"(Vegetarian, Nuts, Dairy, Glusten)","Nuts - indexes: [13,17] - text: Nuts
Dairy - indexes: [19,24] - text: Dairy
Gluten - indexes: [26,33] - text: Glusten","For the input `(Vegetarian, Nuts, Dairy, Glusten)`, I'll analyze for explicitly labeled allergens:

```
Span: ""(Vegetarian, Nuts, Dairy, Glusten)""
Word or Label Denoting Allergen: ""Nuts""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Nuts is listed in a parenthetical allergen/dietary format.""

Span: ""(Vegetarian, Nuts, Dairy, Glusten)""
Word or Label Denoting Allergen: ""Dairy""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Dairy is listed in a parenthetical allergen/dietary format.""

Span: ""(Vegetarian, Nuts, Dairy, Glusten)""
Word or Label Denoting Allergen: ""Glusten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Glusten (likely misspelling of Gluten) is listed in a parenthetical allergen/dietary format.""
```

Note: While ""Vegetarian"" appears in the same format, it's not an allergen designation but rather a dietary preference indicator, so it's not included in the allergen extraction."
"Pastry Wheat Fiour, Water, Soya Bean Oil, Salt, Duck (20%), Cabbage, Carrot. Potato Starch, Onion.
• Soya Bean Oil, Soy Sauce Water, Salt, Soya Beans, Sugar. Wheat Flour), Sugar, Flavour Enhancer:
E621. Salt, White Pepper, Five Spices, Sesame Oil.
For allergen including ceréals containing.gluten.","Soybeans - indexes: [27,31] - text: Soya
Soybeans - indexes: [101,105] - text: Soya
Soybeans - indexes: [139,143] - text: Soya
Sesame - indexes: [236,242] - text: Sesame
Gluten - indexes: [271,289] - text: ceréals containing
Gluten - indexes: [290,296] - text: gluten","For the provided menu item text, I'll analyze it for explicitly labeled allergens according to the guidelines.

The text contains only one explicit allergen reference at the end: ""For allergen including ceréals containing gluten."" This is an allergen label format, so I'll extract this information.

```
Span: ""allergen including ceréals containing gluten""
Word or Label Denoting Allergen: ""gluten""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly labeled as an allergen in the allergen statement.""
```

Note: While the text contains ingredients that are common allergens (like wheat flour, soya beans, sesame oil), these are listed as regular ingredients and not explicitly labeled as allergens, so they are not included in the extraction according to the guidelines. Only the explicit allergen statement about gluten is included in the output."
"Our Pain au chocolat, filled with a generous amount of housemade hazelnut paste, baked for a second round before being generously drizzled with dark chocolate and topped with roasted hazelnuts resulting in a decadent, dense and crunchy pastry packed full of hazelnut and chocolate flavour. (V)
ALLERGENS: WHEAT, EGG, MILK, HAZELNUT, GLUTEN","Nuts - indexes: [65,73] - text: hazelnut
Nuts - indexes: [258,266] - text: hazelnut
Wheat - indexes: [305,310] - text: WHEAT
Eggs - indexes: [312,315] - text: EGG
Dairy - indexes: [317,321] - text: MILK
Nuts - indexes: [323,331] - text: HAZELNUT
Gluten - indexes: [333,339] - text: GLUTEN","I'll analyze the menu item text according to the provided guidelines.

The text contains an explicit allergen section labeled ""ALLERGENS:"" with five allergens listed. I'll process each one:

```
Span: ""ALLERGENS: WHEAT""
Word or Label Denoting Allergen: ""WHEAT""
Allergen Category: ""Wheat""
Certainty: ""High""
Explanation: ""Explicitly listed under ALLERGENS section.""

Span: ""ALLERGENS: WHEAT, EGG""
Word or Label Denoting Allergen: ""EGG""
Allergen Category: ""Eggs""
Certainty: ""High""
Explanation: ""Explicitly listed under ALLERGENS section.""

Span: ""ALLERGENS: WHEAT, EGG, MILK""
Word or Label Denoting Allergen: ""MILK""
Allergen Category: ""Dairy""
Certainty: ""High""
Explanation: ""Explicitly listed under ALLERGENS section.""

Span: ""EGG, MILK, HAZELNUT""
Word or Label Denoting Allergen: ""HAZELNUT""
Allergen Category: ""Nuts""
Certainty: ""High""
Explanation: ""Explicitly listed under ALLERGENS section.""

Span: ""MILK, HAZELNUT, GLUTEN""
Word or Label Denoting Allergen: ""GLUTEN""
Allergen Category: ""Gluten""
Certainty: ""High""
Explanation: ""Explicitly listed under ALLERGENS section.""
```

Note: While hazelnuts and chocolate are mentioned in the ingredient description, I only included the allergens explicitly listed in the ""ALLERGENS:"" section, as per the guidelines."
Flying Fish Roe Sashimi,"Fish - indexes: [7,15] - text: Fish Roe","For the menu item ""Flying Fish Roe Sashimi"", since there are no explicitly labeled allergens (no ""Allergens:"" prefix, ""Contains"" statement, or other clear allergen labeling format), the correct output according to the guidelines is:

```
No Allergens Found
```

Note: While fish roe is technically a seafood product that could be an allergen, it's not explicitly labeled as an allergen in the menu item text. Following the guidelines, we only extract allergens that are explicitly presented in allergen format (e.g., ""Allergens:"", ""Contains"", etc.), so this mention doesn't qualify for extraction."
