text,current_prediction,suggested_correction,reason
"Selection of 7 mezzes: houmous, moutabal, tabbouleh, falafel, batata harra, chicken wings and fattoush. Main course of mixed grill and mixed shawarma served with lebanese sweet. Contains nuts, sesame, dairy and soya milk.
Contains Gluten","Nuts - indexes: [187,191] - text: nuts
Sesame - indexes: [193,199] - text: sesame
Dairy - indexes: [201,206] - text: dairy
Soybeans - indexes: [211,220] - text: soya milk
Gluten - indexes: [231,237] - text: Gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Combination of beef patty and grilled chicken breast fillet with our delicious Gc sauce and fresh salads,"Gluten - indexes: [79,81] - text: Gc",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Cooked with coconut almond plum tomato & cream. Contains sulphur dioxide.
Fairly Hot, Milk, Nuts, Peanuts, Mustard, Soya, Sulphar Dioxide","Sulphites - indexes: [57,72] - text: sulphur dioxide
Dairy - indexes: [86,90] - text: Milk
Nuts - indexes: [92,96] - text: Nuts
Peanuts - indexes: [98,105] - text: Peanuts
Mustard - indexes: [107,114] - text: Mustard
Soybeans - indexes: [116,120] - text: Soya
Sulphites - indexes: [122,137] - text: Sulphar Dioxide",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains Cereals With Gluten, Eggs, Milk","Gluten - indexes: [9,28] - text: Cereals With Gluten
Eggs - indexes: [30,34] - text: Eggs
Dairy - indexes: [36,40] - text: Milk",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Pastry Wheat Fiour, Water, Soya Bean Oil, Salt, Duck (20%), Cabbage, Carrot. Potato Starch, Onion.
• Soya Bean Oil, Soy Sauce Water, Salt, Soya Beans, Sugar. Wheat Flour), Sugar, Flavour Enhancer:
E621. Salt, White Pepper, Five Spices, Sesame Oil.
For allergen including ceréals containing.gluten.","Soybeans - indexes: [27,31] - text: Soya
Soybeans - indexes: [101,105] - text: Soya
Soybeans - indexes: [139,143] - text: Soya
Sesame - indexes: [236,242] - text: Sesame
Gluten - indexes: [271,289] - text: ceréals containing
Gluten - indexes: [290,296] - text: gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Flying Fish Roe Sashimi,"Fish - indexes: [7,15] - text: Fish Roe",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.","Gluten - indexes: [10,36] - text: Cereals (Containing Gluten
Crustaceans - indexes: [39,50] - text: Crustaceans
Sesame - indexes: [52,64] - text: Sesame Seeds","[{'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': 'Cereals (Containing Gluten)', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': 'Crustaceans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': 'Sesame Seeds 2 Spring Rolls', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': '2 Sesame Prawn Toast', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': '2 Chicken Wings', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': '2 BBQ Spare Ribs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Cereals (Containing Gluten), Crustaceans, Sesame Seeds 2 Spring Rolls, 2 Sesame Prawn Toast, 2 Chicken Wings, 2 BBQ Spare Ribs, Seaweed and Sweet & Sour Sauce.', 'allergen': 'Seaweed and Sweet & Sour Sauce', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'64] - text: Sesame Seeds', '50] - text: Crustaceans\nSesame - indexes: [52', '36] - text: Cereals (Containing Gluten\nCrustaceans - indexes: [39', 'Gluten - indexes: [10'} and extracted allergens {'Sesame Seeds 2 Spring Rolls', 'Crustaceans', 'Cereals (Containing Gluten)', 'Seaweed and Sweet & Sour Sauce', '2 Chicken Wings', '2 Sesame Prawn Toast', '2 BBQ Spare Ribs'}"
"Pureed chickpeas, sesame seed paste, hint of garlic, lemon juice, olive oil, and pumpkin seed.","Sesame - indexes: [25,29] - text: seed
Sesame - indexes: [89,93] - text: seed",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"(G: M: SS: CY: SP: MD:
Fruity sauce with onions and tomato","Gluten - indexes: [1,2] - text: G
Dairy - indexes: [4,5] - text: M
Sesame - indexes: [7,9] - text: SS
Celery and Celeriac - indexes: [11,13] - text: CY
Sulphites - indexes: [15,17] - text: SP
Mustard - indexes: [19,21] - text: MD",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Crispy chicken wings tossed in our home made BBQ and Bourbon glaze.
Allergens: Sulphure dioxyde.","Sulphites - indexes: [79,87] - text: Sulphure","[{'span': 'Allergens: Sulphure dioxyde.', 'allergen': 'Sulphure dioxyde', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'87] - text: Sulphure', 'Sulphites - indexes: [79'} and extracted allergens {'Sulphure dioxyde'}"
"G - Contains GlutenBoneless marinated chicken pieces pan cooked with chillies, peppers, onions & curry leaves","Gluten - indexes: [0,1] - text: G
Gluten - indexes: [13,27] - text: GlutenBoneless",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"On a freshly made pizza base - pizzas sauce, finely diced donner, Red donner & finely grated mozzarella cheese (Contains- wheat, wheat, milk, milk protein)","Dairy - indexes: [104,110] - text: cheese
Wheat - indexes: [122,127] - text: wheat
Wheat - indexes: [129,134] - text: wheat
Dairy - indexes: [136,140] - text: milk
Dairy - indexes: [142,154] - text: milk protein",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
ContainsGlutenGluten: WheatGluten: RyeGluten: BarleyGluten: OatsGluten: SpeltGluten: KamutEggsFishMilkSulphur dioxideCeleryMustard,"Gluten - indexes: [0,20] - text: ContainsGlutenGluten
Wheat - indexes: [22,33] - text: WheatGluten
Gluten - indexes: [35,44] - text: RyeGluten
Gluten - indexes: [46,58] - text: BarleyGluten
Gluten - indexes: [60,70] - text: OatsGluten
Sulphites - indexes: [110,130] - text: dioxideCeleryMustard",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Maple Walnut,"Nuts - indexes: [6,12] - text: Walnut",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
(S2) Sesame Prawn on Toast,"Sesame - indexes: [1,3] - text: S2",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Deliciously baked. Delivious Kadaifi lightly buttered with a mix of Fine Nuts, Walnuts, Almonds & Peanuts, syruped with Lemon aroma. Contains Peanuts, Almonds, Walnuts, Sulfites, Milk & Wheat.","Nuts - indexes: [79,86] - text: Walnuts
Nuts - indexes: [88,95] - text: Almonds
Peanuts - indexes: [98,105] - text: Peanuts
Peanuts - indexes: [142,149] - text: Peanuts
Nuts - indexes: [151,158] - text: Almonds
Nuts - indexes: [160,167] - text: Walnuts
Sulphites - indexes: [169,177] - text: Sulfites
Dairy - indexes: [179,183] - text: Milk
Wheat - indexes: [186,191] - text: Wheat",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"With spinach with prawn , Served with pilau rice or naan bread(egg, milk, butterand ghee.","Crustaceans - indexes: [18,23] - text: prawn
Eggs - indexes: [63,66] - text: egg
Dairy - indexes: [68,72] - text: milk
Dairy - indexes: [74,83] - text: butterand
Dairy - indexes: [84,88] - text: ghee",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Smoked salmon, soft cream cheese, twist of black pepper, dill and fresh lemon. Served with lightly salted handcooked crisps. Contain cereals containing gluten, wheat and ry e, fish and milk.
Contains Gluten","Gluten - indexes: [133,158] - text: cereals containing gluten
Wheat - indexes: [160,165] - text: wheat
Soybeans - indexes: [170,172] - text: ry
Eggs - indexes: [173,174] - text: e
Fish - indexes: [176,180] - text: fish
Dairy - indexes: [185,189] - text: milk
Gluten - indexes: [200,206] - text: Gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Mezze Platter (G)(M)(S)(CEL),"Gluten - indexes: [15,16] - text: G
Dairy - indexes: [18,19] - text: M
Soybeans - indexes: [21,22] - text: S
Celery and Celeriac - indexes: [24,27] - text: CEL","[{'span': '(M)', 'allergen': 'Molluscs', 'certainty': 'High', 'explanation': 'Shorthand code M indicates Molluscs'}, {'span': '(S)', 'allergen': 'Soybeans', 'certainty': 'High', 'explanation': 'Shorthand code S indicates Soybeans'}]","Mismatch between predicted allergens {'27] - text: CEL', '22] - text: S\nCelery and Celeriac - indexes: [24', 'Gluten - indexes: [15', '16] - text: G\nDairy - indexes: [18', '19] - text: M\nSoybeans - indexes: [21'} and extracted allergens {'Molluscs', 'Soybeans'}"
"Tikka Masala Sauce, Mozzarella, Red Onions, Jalapenos . [ EG] . [ D ] . [ F ] . [ GL ] . [ SP ]
Add Chicken Tikka/ Jackfruit (£2 Each)","Eggs - indexes: [58,60] - text: EG
Dairy - indexes: [66,67] - text: D
Fish - indexes: [74,75] - text: F
Gluten - indexes: [82,84] - text: GL
Sulphites - indexes: [91,93] - text: SP",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contain milk, Egg, gulten & mustard. Tandoori chicken, lamb tikka, chicken tikka, sheek kebab, wings & chop served with nan","Dairy - indexes: [8,12] - text: milk
Eggs - indexes: [14,17] - text: Egg
Gluten - indexes: [19,25] - text: gulten
Mustard - indexes: [28,35] - text: mustard",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Boneless goat cooked with a fusion of herbs and spices served with rice and peas, plantain, slaw and Caribbean salad.","Crustaceans - indexes: [92,96] - text: slaw",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Venezuelan National dish, Rice, black beans, ripe fried plantains, garnish of avocado slices and pico e’ gallo. (M, MU, CG, E)","Eggs - indexes: [102,103] - text: e
Dairy - indexes: [113,114] - text: M
Mustard - indexes: [116,118] - text: MU
Gluten - indexes: [120,122] - text: CG
Eggs - indexes: [124,125] - text: E","[{'span': '(M, MU, CG, E)', 'allergen': 'Molluscs', 'certainty': 'High', 'explanation': 'Shorthand code M indicates Molluscs'}]","Mismatch between predicted allergens {'118] - text: MU\nGluten - indexes: [120', '103] - text: e\nDairy - indexes: [113', '122] - text: CG\nEggs - indexes: [124', '114] - text: M\nMustard - indexes: [116', 'Eggs - indexes: [102', '125] - text: E'} and extracted allergens {'Molluscs'}"
"Soya, Sesame, Wheat Gluten, Sulphur Dioxide/Sulphite (Condiments only: Soya, Sesame)","Soybeans - indexes: [0,4] - text: Soya
Sesame - indexes: [6,12] - text: Sesame
Wheat - indexes: [14,19] - text: Wheat
Gluten - indexes: [20,26] - text: Gluten
Sulphites - indexes: [28,44] - text: Sulphur Dioxide/
Sulphites - indexes: [44,52] - text: Sulphite
Soybeans - indexes: [71,75] - text: Soya
Sesame - indexes: [77,83] - text: Sesame",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergens
Cereals containing glutenMilk","Gluten - indexes: [10,39] - text: Cereals containing glutenMilk",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"A rich peanut & coconut-based sauce. Creamy & slightly spicy. Contains celery, crustaceans, fish, eggs, milk, lupin, molluscs, nuts, sesame seeds, mustard, peanuts, sulphur dioxide, cereals with gluten, soya.","Celery and Celeriac - indexes: [71,77] - text: celery
Crustaceans - indexes: [79,90] - text: crustaceans
Fish - indexes: [92,96] - text: fish
Eggs - indexes: [98,102] - text: eggs
Dairy - indexes: [104,108] - text: milk
Lupin - indexes: [110,115] - text: lupin
Molluscs - indexes: [117,125] - text: molluscs
Nuts - indexes: [127,131] - text: nuts
Sesame - indexes: [133,145] - text: sesame seeds
Mustard - indexes: [147,154] - text: mustard
Peanuts - indexes: [156,163] - text: peanuts
Sulphites - indexes: [165,180] - text: sulphur dioxide
Gluten - indexes: [182,201] - text: cereals with gluten
Soybeans - indexes: [203,207] - text: soya",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Grilled aubergines, stuffed with vegetables and topped with yoghurt. Cantains
mustand.","Mustard - indexes: [78,85] - text: mustand",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Heart of Sicily signature arancini. Deep fried rice ball filled with salmon, courgette and bechamel sauce. Contains sulphur dioxide or sulphites, gluten, milk, nuts and sesame.","Sulphites - indexes: [116,144] - text: sulphur dioxide or sulphites
Gluten - indexes: [146,152] - text: gluten
Dairy - indexes: [154,158] - text: milk
Nuts - indexes: [160,164] - text: nuts
Sesame - indexes: [169,175] - text: sesame",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Hot. Contain eggs, celary, gluten, sesame. Egg noodles stir fried with vegetables and lamb","Eggs - indexes: [13,17] - text: eggs
Celery and Celeriac - indexes: [19,25] - text: celary
Gluten - indexes: [27,33] - text: gluten
Sesame - indexes: [35,41] - text: sesame
Eggs - indexes: [43,46] - text: Egg",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Fresh Brownies with variety of flavoured toppings.
Chocolate sauce and white chocolate sauce.
Brown sugar , Butter Milk , Sulphur dioxide , sesame , mustard , peanuts , nuts , hazelnuts , almonds and walnuts .","Dairy - indexes: [108,119] - text: Butter Milk
Sulphites - indexes: [122,137] - text: Sulphur dioxide
Sesame - indexes: [140,146] - text: sesame
Mustard - indexes: [149,156] - text: mustard
Peanuts - indexes: [159,166] - text: peanuts
Nuts - indexes: [169,173] - text: nuts
Nuts - indexes: [176,185] - text: hazelnuts
Nuts - indexes: [188,195] - text: almonds
Nuts - indexes: [200,207] - text: walnuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Battered Chicken breast with chips contained WHEAT flour, palm oil, water, salt, WHEAT starch, sugar, WHEAT gluten, flavour, garlic herbs, yeast.","Wheat - indexes: [45,56] - text: WHEAT flour
Wheat - indexes: [81,93] - text: WHEAT starch
Gluten - indexes: [102,114] - text: WHEAT gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"On a freshly made pizza base- Garlic butter, mushrooms, sweetcorn, mixed peppers, red onions, finely grated mozzarella cheese & oregano (Contains- wheat, butter milk, milk, milk protein)","Dairy - indexes: [119,125] - text: cheese
Wheat - indexes: [147,152] - text: wheat
Dairy - indexes: [154,165] - text: butter milk
Dairy - indexes: [167,171] - text: milk
Dairy - indexes: [173,185] - text: milk protein",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
DAVE WALSH SPECIAL (WHEAT/DIARY/ANCHOVIES),"Wheat - indexes: [20,25] - text: WHEAT
Dairy - indexes: [26,31] - text: DIARY",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Vermicelli with BBQ belly pork and spring roll. Cold rice vermicelli. Served with Vietnamese herbs, salads, pickles, roasted peanuts, crispy shallot, and ‘nuoc cham’ dressing. Stir fry with fresh chilli, onion, spring onion, lemongrass, and turmeric.Contain peanut,contain meliuscs,contain crustaceans,contain fish,contain egg,contain milk and contain soya.
Gluten","Peanuts - indexes: [125,132] - text: peanuts
Peanuts - indexes: [258,264] - text: peanut
Nuts - indexes: [273,281] - text: meliuscs
Crustaceans - indexes: [290,301] - text: crustaceans
Fish - indexes: [310,314] - text: fish
Eggs - indexes: [323,326] - text: egg
Dairy - indexes: [335,339] - text: milk
Soybeans - indexes: [352,356] - text: soya
Gluten - indexes: [358,364] - text: Gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergens Present
Egg Products Yes
Milk Products Yes
Soya Products Yes
Tree Nuts Products Yes
Tree Nut Source Almond","Eggs - indexes: [18,21] - text: Egg
Dairy - indexes: [22,30] - text: Products
Dairy - indexes: [35,39] - text: Milk
Dairy - indexes: [40,48] - text: Products
Soybeans - indexes: [53,57] - text: Soya
Dairy - indexes: [58,66] - text: Products
Nuts - indexes: [71,80] - text: Tree Nuts
Dairy - indexes: [81,89] - text: Products
Nuts - indexes: [94,102] - text: Tree Nut
Nuts - indexes: [110,116] - text: Almond",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
V (Serves - 2)G - Contains GlutenD - Contains Dairy,"Gluten - indexes: [14,15] - text: G
Gluten - indexes: [27,34] - text: GlutenD
Dairy - indexes: [46,51] - text: Dairy",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"GFOR
With garden peas, onion rings & gravy","Gluten - indexes: [0,4] - text: GFOR",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Cereals Gluten, Milkm Soya, Oyster, Sesame","Gluten - indexes: [0,7] - text: Cereals
Gluten - indexes: [8,14] - text: Gluten
Dairy - indexes: [16,21] - text: Milkm
Soybeans - indexes: [22,26] - text: Soya
Molluscs - indexes: [28,34] - text: Oyster
Sesame - indexes: [36,42] - text: Sesame",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Mixed Starter: A combination of: Chicken Satay, Steam Chicken & Prawn Dumplings, Chicken & Prawn Toasts Thai Spare Ribs Main Course: A combination of: Green Chicken Curry 🌶️🌶️ (Medium Hot), Beef Oyster Sauce with mushrooms and spring onion. Stir-fried mixed vegetables with a Light Soy Sauce Steamed Jasmin Rice. Minimum of 2 people. £19.95 per person. Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.","Gluten - indexes: [353,361] - text: Contains
Crustaceans - indexes: [363,369] - text: Gluten
Crustaceans - indexes: [371,382] - text: Crustaceans
Fish - indexes: [384,388] - text: Eggs
Fish - indexes: [390,394] - text: Fish
Molluscs - indexes: [396,404] - text: Molluscs
Sesame - indexes: [406,414] - text: Peanuts,
Sesame - indexes: [415,427] - text: Sesame Seeds
Soybeans - indexes: [430,439] - text: Soyabeans","[{'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Gluten', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Crustaceans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Eggs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Fish', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Molluscs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Peanuts', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, Crustaceans, Eggs, Fish, Molluscs, Peanuts, Sesame Seeds & Soyabeans.', 'allergen': 'Sesame Seeds & Soyabeans', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'414] - text: Peanuts', '404] - text: Molluscs\nSesame - indexes: [406', '369] - text: Gluten\nCrustaceans - indexes: [371', '382] - text: Crustaceans\nFish - indexes: [384', '388] - text: Eggs\nFish - indexes: [390', '394] - text: Fish\nMolluscs - indexes: [396', '439] - text: Soyabeans', 'Sesame - indexes: [415', '427] - text: Sesame Seeds\nSoybeans - indexes: [430', 'Gluten - indexes: [353', '361] - text: Contains\nCrustaceans - indexes: [363'} and extracted allergens {'Peanuts', 'Sesame Seeds & Soyabeans', 'Gluten', 'Eggs', 'Molluscs', 'Crustaceans', 'Fish'}"
Our Home cooed ham dusted in bread crumbs. Contains GlUTEN,"Gluten - indexes: [52,58] - text: GlUTEN",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
With crustaceans. Cereal contains gluten,"Crustaceans - indexes: [5,16] - text: crustaceans
Gluten - indexes: [18,33] - text: Cereal contains
Gluten - indexes: [34,40] - text: gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Our carrot cake with cinnamon, ginger, mixed spice, mixed fruit and peel, topped with vanilla frosting Contains: Gluten, soya, hazzelnut, walnuts.","Gluten - indexes: [113,119] - text: Gluten
Soybeans - indexes: [121,125] - text: soya
Nuts - indexes: [127,136] - text: hazzelnut
Nuts - indexes: [138,145] - text: walnuts","[{'span': 'Contains: Gluten, soya, hazzelnut, walnuts.', 'allergen': 'Gluten', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, soya, hazzelnut, walnuts.', 'allergen': 'soya', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, soya, hazzelnut, walnuts.', 'allergen': 'hazzelnut', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Gluten, soya, hazzelnut, walnuts.', 'allergen': 'walnuts', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'125] - text: soya\nNuts - indexes: [127', 'Gluten - indexes: [113', '136] - text: hazzelnut\nNuts - indexes: [138', '119] - text: Gluten\nSoybeans - indexes: [121', '145] - text: walnuts'} and extracted allergens {'hazzelnut', 'Gluten', 'soya', 'walnuts'}"
14) Pla Muek Tord Glua,"Gluten - indexes: [18,22] - text: Glua",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"ALLERGENS
Contains
EggsSulphur dioxide","Eggs - indexes: [19,30] - text: EggsSulphur
Sulphites - indexes: [31,38] - text: dioxide",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"🌶️🌶️🌶️ Steamed seafood in red curried coconut cream with eggs, squid, prawns and cod fillets. (C)(E*)(F)(Mo)","Eggs - indexes: [57,61] - text: eggs
Crustaceans - indexes: [85,92] - text: fillets
Eggs - indexes: [95,96] - text: C
Eggs - indexes: [98,99] - text: E
Molluscs - indexes: [102,103] - text: F
Molluscs - indexes: [105,107] - text: Mo","[{'span': '(C)', 'allergen': 'Celery and Celeriac', 'certainty': 'High', 'explanation': 'Shorthand code C indicates Celery and Celeriac'}, {'span': '(F)', 'allergen': 'Fish', 'certainty': 'High', 'explanation': 'Shorthand code F indicates Fish'}]","Mismatch between predicted allergens {'103] - text: F\nMolluscs - indexes: [105', '96] - text: C\nEggs - indexes: [98', '107] - text: Mo', '92] - text: fillets\nEggs - indexes: [95', '61] - text: eggs\nCrustaceans - indexes: [85', 'Eggs - indexes: [57', '99] - text: E\nMolluscs - indexes: [102'} and extracted allergens {'Fish', 'Celery and Celeriac'}"
"Bread stuffed with almond and Sultanas
Allergens Info: Dairy, Egg, Tree nut & Wheat","Dairy - indexes: [55,60] - text: Dairy
Eggs - indexes: [62,65] - text: Egg
Nuts - indexes: [67,75] - text: Tree nut
Wheat - indexes: [78,83] - text: Wheat",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Delicious vegan chickpea patties, served with mixed salad and a sauce of your choice.
Contains celery, crustaceans, eggs, fish, lupin, milk including lactose, molluscs, mustard, nuts, peanuts, sesame, soybeans and sulphur dioxide sulphites.
Contains gluten","Celery and Celeriac - indexes: [95,101] - text: celery
Crustaceans - indexes: [103,114] - text: crustaceans
Eggs - indexes: [116,120] - text: eggs
Fish - indexes: [122,126] - text: fish
Lupin - indexes: [128,133] - text: lupin
Dairy - indexes: [135,139] - text: milk
Dairy - indexes: [150,157] - text: lactose
Molluscs - indexes: [159,167] - text: molluscs
Mustard - indexes: [169,176] - text: mustard
Nuts - indexes: [178,182] - text: nuts
Peanuts - indexes: [184,191] - text: peanuts
Sesame - indexes: [193,199] - text: sesame
Soybeans - indexes: [201,209] - text: soybeans
Sulphites - indexes: [214,239] - text: sulphur dioxide sulphites
Gluten - indexes: [250,256] - text: gluten",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Assiette of Tomato, Toasted Pine Nuts","Nuts - indexes: [28,37] - text: Pine Nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Nutella sauce
white chocolate
Flake
contain nuts
cheeses","Nuts - indexes: [44,48] - text: nuts
Dairy - indexes: [49,56] - text: cheeses",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
Contains sesame paste,"Sesame - indexes: [9,21] - text: sesame paste",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Allergens: Gluten, Soya, Eggs, Curstacean.","Gluten - indexes: [11,17] - text: Gluten
Soybeans - indexes: [19,23] - text: Soya
Eggs - indexes: [25,29] - text: Eggs
Crustaceans - indexes: [31,41] - text: Curstacean","[{'span': 'Allergens: Gluten, Soya, Eggs, Curstacean.', 'allergen': 'Gluten', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Gluten, Soya, Eggs, Curstacean.', 'allergen': 'Soya', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Gluten, Soya, Eggs, Curstacean.', 'allergen': 'Eggs', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Allergens: Gluten, Soya, Eggs, Curstacean.', 'allergen': 'Curstacean', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'41] - text: Curstacean', 'Gluten - indexes: [11', '29] - text: Eggs\nCrustaceans - indexes: [31', '17] - text: Gluten\nSoybeans - indexes: [19', '23] - text: Soya\nEggs - indexes: [25'} and extracted allergens {'Soya', 'Gluten', 'Eggs', 'Curstacean'}"
DP Single Smash Burger,"Dairy - indexes: [0,2] - text: DP",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
